PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
EmissionActivityRatio,VGB,GLOBAL,PWROTHSLVXX,,CO2SLV,1,2037,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHSLVXX,,CO2SLV,1,2038,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHSLVXX,,CO2SLV,1,2039,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHSLVXX,,CO2SLV,1,2040,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHSLVXX,,CO2SLV,1,2041,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHSLVXX,,CO2SLV,1,2042,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHSLVXX,,CO2SLV,1,2043,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHSLVXX,,CO2SLV,1,2044,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHSLVXX,,CO2SLV,1,2045,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHSLVXX,,CO2SLV,1,2046,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHSLVXX,,CO2SLV,1,2047,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHSLVXX,,CO2SLV,1,2048,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHSLVXX,,CO2SLV,1,2049,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHSLVXX,,CO2SLV,1,2050,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHSLVXX,,CO2SLV,2,2023,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHSLVXX,,CO2SLV,2,2024,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHSLVXX,,CO2SLV,2,2025,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHSLVXX,,CO2SLV,2,2026,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHSLVXX,,CO2SLV,2,2027,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHSLVXX,,CO2SLV,2,2028,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHSLVXX,,CO2SLV,2,2029,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHSLVXX,,CO2SLV,2,2030,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHSLVXX,,CO2SLV,2,2031,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHSLVXX,,CO2SLV,2,2032,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHSLVXX,,CO2SLV,2,2033,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHSLVXX,,CO2SLV,2,2034,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHSLVXX,,CO2SLV,2,2035,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHSLVXX,,CO2SLV,2,2036,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHSLVXX,,CO2SLV,2,2037,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHSLVXX,,CO2SLV,2,2038,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHSLVXX,,CO2SLV,2,2039,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHSLVXX,,CO2SLV,2,2040,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHSLVXX,,CO2SLV,2,2041,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHSLVXX,,CO2SLV,2,2042,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHSLVXX,,CO2SLV,2,2043,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHSLVXX,,CO2SLV,2,2044,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHSLVXX,,CO2SLV,2,2045,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHSLVXX,,CO2SLV,2,2046,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHSLVXX,,CO2SLV,2,2047,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHSLVXX,,CO2SLV,2,2048,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHSLVXX,,CO2SLV,2,2049,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHSLVXX,,CO2SLV,2,2050,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHURYXX,,CO2URY,1,2023,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHURYXX,,CO2URY,1,2024,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHURYXX,,CO2URY,1,2025,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHURYXX,,CO2URY,1,2026,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHURYXX,,CO2URY,1,2027,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHURYXX,,CO2URY,1,2028,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHURYXX,,CO2URY,1,2029,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHURYXX,,CO2URY,1,2030,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHURYXX,,CO2URY,1,2031,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHURYXX,,CO2URY,1,2032,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHURYXX,,CO2URY,1,2033,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHURYXX,,CO2URY,1,2034,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHURYXX,,CO2URY,1,2035,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHURYXX,,CO2URY,1,2036,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHURYXX,,CO2URY,1,2037,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHURYXX,,CO2URY,1,2038,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHURYXX,,CO2URY,1,2039,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHURYXX,,CO2URY,1,2040,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHURYXX,,CO2URY,1,2041,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHURYXX,,CO2URY,1,2042,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHURYXX,,CO2URY,1,2043,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHURYXX,,CO2URY,1,2044,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHURYXX,,CO2URY,1,2045,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHURYXX,,CO2URY,1,2046,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHURYXX,,CO2URY,1,2047,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHURYXX,,CO2URY,1,2048,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHURYXX,,CO2URY,1,2049,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHURYXX,,CO2URY,1,2050,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHURYXX,,CO2URY,2,2023,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHURYXX,,CO2URY,2,2024,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHURYXX,,CO2URY,2,2025,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHURYXX,,CO2URY,2,2026,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHURYXX,,CO2URY,2,2027,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHURYXX,,CO2URY,2,2028,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHURYXX,,CO2URY,2,2029,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHURYXX,,CO2URY,2,2030,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHURYXX,,CO2URY,2,2031,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHURYXX,,CO2URY,2,2032,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHURYXX,,CO2URY,2,2033,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHURYXX,,CO2URY,2,2034,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHURYXX,,CO2URY,2,2035,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHURYXX,,CO2URY,2,2036,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHURYXX,,CO2URY,2,2037,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHURYXX,,CO2URY,2,2038,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHURYXX,,CO2URY,2,2039,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHURYXX,,CO2URY,2,2040,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHURYXX,,CO2URY,2,2041,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHURYXX,,CO2URY,2,2042,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHURYXX,,CO2URY,2,2043,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHURYXX,,CO2URY,2,2044,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHURYXX,,CO2URY,2,2045,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHURYXX,,CO2URY,2,2046,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHURYXX,,CO2URY,2,2047,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHURYXX,,CO2URY,2,2048,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHURYXX,,CO2URY,2,2049,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWROTHURYXX,,CO2URY,2,2050,,,,,,0.0503
EmissionActivityRatio,VGB,GLOBAL,PWRPETARGXX,,CO2ARG,1,2023,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETARGXX,,CO2ARG,1,2024,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETARGXX,,CO2ARG,1,2025,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETARGXX,,CO2ARG,1,2026,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETARGXX,,CO2ARG,1,2027,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETARGXX,,CO2ARG,1,2028,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETARGXX,,CO2ARG,1,2029,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETARGXX,,CO2ARG,1,2030,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETARGXX,,CO2ARG,1,2031,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETARGXX,,CO2ARG,1,2032,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETARGXX,,CO2ARG,1,2033,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETARGXX,,CO2ARG,1,2034,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETARGXX,,CO2ARG,1,2035,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETARGXX,,CO2ARG,1,2036,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETARGXX,,CO2ARG,1,2037,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETARGXX,,CO2ARG,1,2038,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETARGXX,,CO2ARG,1,2039,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETARGXX,,CO2ARG,1,2040,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETARGXX,,CO2ARG,1,2041,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETARGXX,,CO2ARG,1,2042,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETARGXX,,CO2ARG,1,2043,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETARGXX,,CO2ARG,1,2044,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETARGXX,,CO2ARG,1,2045,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETARGXX,,CO2ARG,1,2046,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETARGXX,,CO2ARG,1,2047,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETARGXX,,CO2ARG,1,2048,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETARGXX,,CO2ARG,1,2049,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETARGXX,,CO2ARG,1,2050,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETARGXX,,CO2ARG,2,2023,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETARGXX,,CO2ARG,2,2024,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETARGXX,,CO2ARG,2,2025,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETARGXX,,CO2ARG,2,2026,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETARGXX,,CO2ARG,2,2027,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETARGXX,,CO2ARG,2,2028,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETARGXX,,CO2ARG,2,2029,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETARGXX,,CO2ARG,2,2030,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETARGXX,,CO2ARG,2,2031,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETARGXX,,CO2ARG,2,2032,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETARGXX,,CO2ARG,2,2033,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETARGXX,,CO2ARG,2,2034,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETARGXX,,CO2ARG,2,2035,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETARGXX,,CO2ARG,2,2036,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETARGXX,,CO2ARG,2,2037,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETARGXX,,CO2ARG,2,2038,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETARGXX,,CO2ARG,2,2039,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETARGXX,,CO2ARG,2,2040,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETARGXX,,CO2ARG,2,2041,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETARGXX,,CO2ARG,2,2042,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETARGXX,,CO2ARG,2,2043,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETARGXX,,CO2ARG,2,2044,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETARGXX,,CO2ARG,2,2045,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETARGXX,,CO2ARG,2,2046,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETARGXX,,CO2ARG,2,2047,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETARGXX,,CO2ARG,2,2048,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETARGXX,,CO2ARG,2,2049,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETARGXX,,CO2ARG,2,2050,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBOLXX,,CO2BOL,1,2023,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBOLXX,,CO2BOL,1,2024,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBOLXX,,CO2BOL,1,2025,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBOLXX,,CO2BOL,1,2026,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBOLXX,,CO2BOL,1,2027,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBOLXX,,CO2BOL,1,2028,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBOLXX,,CO2BOL,1,2029,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBOLXX,,CO2BOL,1,2030,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBOLXX,,CO2BOL,1,2031,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBOLXX,,CO2BOL,1,2032,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBOLXX,,CO2BOL,1,2033,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBOLXX,,CO2BOL,1,2034,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBOLXX,,CO2BOL,1,2035,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBOLXX,,CO2BOL,1,2036,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBOLXX,,CO2BOL,1,2037,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBOLXX,,CO2BOL,1,2038,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBOLXX,,CO2BOL,1,2039,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBOLXX,,CO2BOL,1,2040,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBOLXX,,CO2BOL,1,2041,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBOLXX,,CO2BOL,1,2042,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBOLXX,,CO2BOL,1,2043,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBOLXX,,CO2BOL,1,2044,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBOLXX,,CO2BOL,1,2045,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBOLXX,,CO2BOL,1,2046,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBOLXX,,CO2BOL,1,2047,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBOLXX,,CO2BOL,1,2048,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBOLXX,,CO2BOL,1,2049,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBOLXX,,CO2BOL,1,2050,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBOLXX,,CO2BOL,2,2023,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBOLXX,,CO2BOL,2,2024,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBOLXX,,CO2BOL,2,2025,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBOLXX,,CO2BOL,2,2026,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBOLXX,,CO2BOL,2,2027,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBOLXX,,CO2BOL,2,2028,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBOLXX,,CO2BOL,2,2029,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBOLXX,,CO2BOL,2,2030,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBOLXX,,CO2BOL,2,2031,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBOLXX,,CO2BOL,2,2032,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBOLXX,,CO2BOL,2,2033,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBOLXX,,CO2BOL,2,2034,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBOLXX,,CO2BOL,2,2035,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBOLXX,,CO2BOL,2,2036,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBOLXX,,CO2BOL,2,2037,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBOLXX,,CO2BOL,2,2038,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBOLXX,,CO2BOL,2,2039,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBOLXX,,CO2BOL,2,2040,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBOLXX,,CO2BOL,2,2041,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBOLXX,,CO2BOL,2,2042,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBOLXX,,CO2BOL,2,2043,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBOLXX,,CO2BOL,2,2044,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBOLXX,,CO2BOL,2,2045,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBOLXX,,CO2BOL,2,2046,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBOLXX,,CO2BOL,2,2047,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBOLXX,,CO2BOL,2,2048,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBOLXX,,CO2BOL,2,2049,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBOLXX,,CO2BOL,2,2050,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBRAXX,,CO2BRA,1,2023,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBRAXX,,CO2BRA,1,2024,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBRAXX,,CO2BRA,1,2025,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBRAXX,,CO2BRA,1,2026,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBRAXX,,CO2BRA,1,2027,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBRAXX,,CO2BRA,1,2028,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBRAXX,,CO2BRA,1,2029,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBRAXX,,CO2BRA,1,2030,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBRAXX,,CO2BRA,1,2031,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBRAXX,,CO2BRA,1,2032,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBRAXX,,CO2BRA,1,2033,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBRAXX,,CO2BRA,1,2034,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBRAXX,,CO2BRA,1,2035,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBRAXX,,CO2BRA,1,2036,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBRAXX,,CO2BRA,1,2037,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBRAXX,,CO2BRA,1,2038,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBRAXX,,CO2BRA,1,2039,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBRAXX,,CO2BRA,1,2040,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBRAXX,,CO2BRA,1,2041,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBRAXX,,CO2BRA,1,2042,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBRAXX,,CO2BRA,1,2043,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBRAXX,,CO2BRA,1,2044,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBRAXX,,CO2BRA,1,2045,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBRAXX,,CO2BRA,1,2046,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBRAXX,,CO2BRA,1,2047,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBRAXX,,CO2BRA,1,2048,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBRAXX,,CO2BRA,1,2049,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBRAXX,,CO2BRA,1,2050,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBRAXX,,CO2BRA,2,2023,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBRAXX,,CO2BRA,2,2024,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBRAXX,,CO2BRA,2,2025,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBRAXX,,CO2BRA,2,2026,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBRAXX,,CO2BRA,2,2027,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBRAXX,,CO2BRA,2,2028,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBRAXX,,CO2BRA,2,2029,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBRAXX,,CO2BRA,2,2030,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBRAXX,,CO2BRA,2,2031,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBRAXX,,CO2BRA,2,2032,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBRAXX,,CO2BRA,2,2033,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBRAXX,,CO2BRA,2,2034,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBRAXX,,CO2BRA,2,2035,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBRAXX,,CO2BRA,2,2036,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBRAXX,,CO2BRA,2,2037,,,,,,0.217
EmissionActivityRatio,VGB,GLOBAL,PWRPETBRAXX,,CO2BRA,2,2038,,,,,,0.217
